id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
974130181789175734,1 BR Gem 5min to Train & Airport explore the city,115371501,1468185634632214555,Cecilia,,East Boston,42.37138183463158,-71.0399257294879,Entire home/apt,,1,118,2025-12-15,5.32,1,107,59,STR-540462
974824924367110722,Modern/chic one-bedroom in eco Smart Home -Room #2,77476995,1466949615939633231,Christian,,Dorchester,42.31276,-71.07632,Private room,,1,20,2024-11-01,0.73,1,56,0,STR-520018
975276196613469703,Newly Renovated + Spacious Apt w/ Parking,21554910,1463158134547235235,Philipp,,Roxbury,42.32162,-71.07709,Entire home/apt,,1,115,2025-12-11,4.13,2,339,39,STR-538999
975608550315913057,Ideal for long stays | Spacious suite in Boston,416027128,1463648115903378942,Our House,,Brighton,42.34745,-71.14425,Entire home/apt,,1,128,2025-12-23,4.60,40,264,63,STR-569347
977329599325064066,Brownstone 5 mins from downtown,227889113,1463227805139311816,Lee,,Roxbury,42.33322,-71.08187,Entire home/apt,,1,8,2025-09-14,0.30,4,258,7,Str-460336
978849188811936609,Full Bedroom D in #1349: JFK/UMass,297860058,1469532210412704558,Sophia,,Dorchester,42.31821942051798,-71.05443692792049,Private room,,91,0,,,9,362,0,
978849547861618199,Queen Bedroom A in #1234: Allston,297860058,1469532210412704558,Sophia,,Allston,42.35655398501891,-71.13336104780106,Private room,,91,0,,,9,362,0,
978993066417058463,Beautiful Victorian house with Views. free parking,351001469,1463508170829179757,Tan,,Dorchester,42.2957068309299,-71.06245390225585,Entire home/apt,,2,46,2025-10-12,1.65,1,306,17,STR-516310
980483606576205347,(42L4) TD Garden - Perfect Spot!,528489640,1470375843790383546,Together We Rise,,Downtown,42.36628370697858,-71.06511972252505,Entire home/apt,,1,115,2025-12-08,4.13,12,199,47,STR-571779
981123327835096425,Centrally located 1bed | Newbury Street,275849638,1469454850382219508,Healing Homes,,Back Bay,42.34997392964146,-71.0863109533545,Entire home/apt,,1,79,2025-12-06,2.98,49,79,24,STR-520913
981148882502377988,Stunning 1 Bedroom Apt | Close to Fenway!,275849638,1469454850382219508,Healing Homes,,Fenway,42.34745,-71.09337,Entire home/apt,,29,7,2023-10-30,0.26,49,77,0,STR-540557
981176309557245367,Cozy 1BDR Close to Fenway!,275849638,1469454850382219508,Healing Homes,,Fenway,42.34932333395925,-71.09343258651612,Entire home/apt,,1,88,2025-11-20,3.25,49,236,25,STR-461741
982023966642943232,Spacious 3Br2Br apartment with astonishing view,518882444,1470334797382667032,Greg,,Mission Hill,42.32982,-71.1125,Entire home/apt,,4,0,,,5,365,0,Exempt: This listing is a unit used for furnished institutional or business stays
982228917912272857,Newly Renovated Large Room,537486605,1470410971623778376,Benjamin,,Brighton,42.36019,-71.1423,Private room,,91,0,,,1,269,0,
983776069017896796,Penthouse 2 Beds /2 Baths luxury in South Boston,437249260,1469976719985481939,Blerina,,South Boston,42.33587636211053,-71.05071114287647,Entire home/apt,,1,121,2025-11-28,4.43,2,201,48,STR-544933
985434237035903198,"Walk to Berklee, Fenway & Newbury St",22348222,1462620857010380237,Maverick,,Fenway,42.34658,-71.08952,Entire home/apt,,1,272,2025-12-14,9.95,84,351,123,STR-540439
985499257021530456,Hidden Oasis in Trendy Boston Neighborhood,12795084,1462895809184883811,Lynne,,Jamaica Plain,42.31500761298455,-71.11426414828182,Private room,,1,43,2025-10-21,1.57,1,68,18,STR-538357
986064726941440389,Arc House 1,443303200,1469999479741131438,Winsome Joy,,Mattapan,42.27335926355007,-71.09710208829844,Private room,,1,14,2025-10-25,0.52,1,268,5,STR-540796
988349949154367761,2 BR Apt close to Boston/Cambridge free parking,212619448,1469110665390978548,Qi,,Brighton,42.3526215069712,-71.14915567999259,Entire home/apt,,1,60,2025-11-05,2.24,1,78,15,STR-525950
989067490968165923,2bd Condo with 2 KING Size Beds,536781146,1462521630116987053,Jay,,Allston,42.351682651636246,-71.12784399525064,Entire home/apt,,1,64,2025-11-02,2.36,1,358,25,STR-539938
989426037045600878,Longwood/Fenway Hill Top 2-Levels Loft 1BR Apt,184906834,1468955763703496320,Janice,,Mission Hill,42.331802354587836,-71.10778483449555,Entire home/apt,,3,81,2025-11-06,2.97,2,7,28,STR-536148
989842393475061363,"The Ellie House 2- Simple, Back Bay, Cozy!",454031378,1470042747790842420,⁨Airbnb Queen (Ellie House)⁩,,Back Bay,42.342792011479844,-71.08403036368907,Entire home/apt,,1,81,2025-12-21,2.96,5,327,33,STR-595431
990560533488615867,Newly renovated penthouse 1 bed,26988,1462507068700680197,Anne,,Mission Hill,42.33164437541686,-71.10437449827246,Entire home/apt,,91,0,,,4,365,0,
991224498169799601,Prime Location by Fenway & Berklee College,22348222,1462620857010380237,Maverick,,Fenway,42.34623680055352,-71.09133845270514,Entire home/apt,,1,93,2025-11-07,3.47,84,336,39,STR-540397
991921375982975214,"Cozy Dorchester Apartment, Room 2",539671081,1470419343267551032,Kam,,Dorchester,42.28478,-71.0857,Private room,,1,1,2023-10-16,0.04,2,148,0,STR-537942
992859316058972051,"Cozy Dorchester Apartment, Room 1",539671081,1470419343267551032,Kam,,Dorchester,42.284916510428,-71.0858133108561,Private room,,1,3,2023-10-18,0.11,2,117,0,STR-537942
992981917510641760,Cozy Boston Getaway Apartment,230850564,1469230950090023607,Suzana,,West Roxbury,42.27512,-71.15049,Entire home/apt,,91,0,,,2,365,0,
993474344830830161,Large Bedroom Suite & Private Bathroom 1B,16612533,1462990857401466263,Matthew,,Dorchester,42.28173,-71.07449,Private room,,29,6,2025-09-19,0.24,17,98,1,
994161541022326241,Brownstone Townhouse in Fenway,301744764,1469547337431654680,Glenn,,Fenway,42.3426674,-71.0873809,Entire home/apt,,1,73,2025-11-25,2.99,1,224,32,STR-546475
994780570117786487,Cozy Boston: Private Bed & Bath in Dorchester,177362877,1468716985627412329,Lisa,,Dorchester,42.30916,-71.07097,Private room,,2,24,2025-10-28,2.87,3,335,24,STR-588864
996601078601747795,"Luxurious 2BR | Spacious, Private Garage, Balcony",57323581,1465937538285517912,Jesus,,Roxbury,42.3267057,-71.08678370000001,Entire home/apt,,29,1,2024-09-08,0.06,2,96,0,
996896435312647118,Spacious 3 Bed 2.5 Bath Home Top Loc. w/Parking,25146457,1465336914350256346,Nicholas,,Chinatown,42.34845,-71.06546,Entire home/apt,,2,88,2025-11-23,3.33,3,58,42,STR-398230
996990990736513456,sunny and oversized in quiet area,538827522,1470416049183922845,Jonathan,,Dorchester,42.31141,-71.08038,Private room,,3,9,2025-10-19,0.47,3,354,8,STR-540867
997690707736872700,Near Harvard Business 1-2,15154687,1462593006369650043,Taskin,,Allston,42.36092,-71.13096,Private room,,1,40,2025-12-07,3.08,19,364,39,STR-544976
997693577040984732,Near Harvard Business 2-2,15154687,1462593006369650043,Taskin,,Allston,42.36105925775997,-71.13071205801292,Private room,,1,134,2025-12-08,4.98,19,365,64,Str-544976
997706332681772091,Near Harvard Business 2-3,15154687,1462593006369650043,Taskin,,Allston,42.35951917443434,-71.13233011186199,Private room,,1,161,2025-12-22,6.08,19,359,80,Str-544976
997853258342980032,"(T4) Pizza, Nails, Shopping, South End Studio!",371640674,1470512703190615862,Together We Rise,,South End,42.34277828280088,-71.07696181995313,Entire home/apt,,1,102,2025-12-09,3.80,18,239,38,str-561975
998693526229483614,Nice bedroom in a good location,64331842,1466794223107549992,Ricardo,,Roslindale,42.282933721379685,-71.13908365959594,Private room,,1,30,2025-05-25,1.15,1,247,2,STR-541682
999910805180604262,Spacious Bedroom + Private Bath 1A,16612533,1462990857401466263,Matthew,,Dorchester,42.28131620551634,-71.0724701415106,Private room,,29,3,2025-08-23,0.13,17,243,1,
999915504398213197,Comfy Bedroom Suite + Private Attached Bath 1D,16612533,1462990857401466263,Matthew,,Dorchester,42.28125937628452,-71.07259021511832,Private room,,29,5,2025-08-31,0.21,17,213,1,
999917182225322201,Cozy Bedroom + Private Bath 1C,16612533,1462990857401466263,Matthew,,Dorchester,42.28229899028369,-71.0733387619257,Private room,,29,6,2025-09-30,0.28,17,293,3,
1000103798537447390,[Fabulous Room close to St Elizabeth & Green Line],238548804,1469269211283261248,Mahmut,,Brighton,42.345783324412,-71.157591362899,Private room,,2,21,2025-11-22,0.87,5,229,14,STR-543932
1000171375166552287,[Fabulous Room close to St Elizabeth & Green Line],238548804,1469269211283261248,Mahmut,,Brighton,42.34626391576199,-71.15584196448887,Private room,,2,21,2025-10-24,1.05,5,229,10,STR-543932
1000194616538278084,[Fabulous Extra Large Room close t Boston College],238548804,1469269211283261248,Mahmut,,Brighton,42.34789,-71.15807,Private room,,2,52,2025-11-02,2.65,5,362,31,STR-543932
1000737502114505659,Modern Studio | South End,523515799,1470355309937485363,Healing Homes,,Back Bay,42.34361,-71.0819,Entire home/apt,,29,35,2025-05-12,1.31,43,237,4,Exempt: This listing is a unit that has contracts with hospitals
1002993319352668458,Charming & Cozy Bedroom for Single or Couple,541993082,1470428366531447395,Anna And Samuel,,West Roxbury,42.27814752448772,-71.14810650144058,Private room,,1,51,2025-11-03,2.04,4,171,18,STR-542608
1003348159314232275,Stunning 2B luxury condominium on Emerald Necklace,382316683,1469782886656059437,Rohan,,Mission Hill,42.332342569499545,-71.1129260801658,Entire home/apt,,91,0,,,1,213,0,
1003531679355880592,Best location Beacon Hill 2b apt,373675137,1463554206153655871,Lilith,,Beacon Hill,42.35864,-71.07086,Entire home/apt,,29,5,2025-12-15,0.30,104,248,3,
1004599756665264904,Pearl_4,541813300,1470427724054736466,Dan,,Dorchester,42.31908,-71.05463,Private room,,29,38,2025-05-24,1.44,20,360,7,STR-595441
1004609262523402305,Pearl_5,541813300,1470427724054736466,Dan,,Dorchester,42.3179414473076,-71.05426592509909,Private room,,29,19,2025-06-06,0.75,20,365,5,STR-541679
1006662795441855296,Boston Duplex w/ Foosball Table: 11 Mi to Downtown,122377513,1468126526837796926,Evolve,,Hyde Park,42.24883,-71.12157,Entire home/apt,,29,31,2025-04-23,1.24,4,343,2,STR-522953
1007323651771579048,Cozy Bedroom with En-Suite Bath 2C,16612533,1462990857401466263,Matthew,,Dorchester,42.2822991,-71.0733387,Private room,,29,3,2025-05-20,0.12,17,13,1,
1007480621926251575,Spacious Bedroom + Private Bath 2A,16612533,1462990857401466263,Matthew,,Dorchester,42.28229899028369,-71.0733387619257,Private room,,29,5,2025-09-04,0.20,17,301,2,
1007486142006282338,Large Bedroom + En-suite Bath 2B,16612533,1462990857401466263,Matthew,,Dorchester,42.28229899028369,-71.0733387619257,Private room,,29,5,2025-12-20,0.27,17,63,3,
1007515467943677504,Cozy Bedroom with Private Bath 3C,16612533,1462990857401466263,Matthew,,Dorchester,42.28229899028369,-71.0733387619257,Private room,,30,6,2025-08-07,0.28,17,178,3,
1007856780910118051,Cozy Bedroom with Workspace 2D,16612533,1462990857401466263,Matthew,,Dorchester,42.2833961,-71.0524166,Private room,,180,0,,,17,267,0,
1008634914969553181,Entire Apt Near Wharf,20857768,1463140474528738801,Compass,,North End,42.3661862,-71.05216779999999,Entire home/apt,,10,9,2025-11-25,0.35,35,302,4,STR-550228
1008752304965918963,Peaceful 3BR Home w/ Park & close to Harvard/BC/BU,306329570,1463425806556299595,Jonathan,,Allston,42.35153,-71.14089899999999,Entire home/apt,,29,12,2025-05-07,0.54,4,258,1,Exempt: This listing is a unit used for furnished institutional or business stays
1009490318960300178,Luxury Penthouse w/ Private Roof Deck By The Ocean,15276713,1462958460880701407,Michal,,East Boston,42.36533,-71.03132,Entire home/apt,,1,157,2025-12-15,6.02,1,233,77,STR-539400
1010659519692433211,"Blueground | Back Bay, basketball, 2 blocks to t",107434423,1462889176402806013,Blueground,,Bay Village,42.34992,-71.06943,Entire home/apt,,30,0,,,287,238,0,
1010659956299296553,"Blueground | Back Bay, gym, close to garden",107434423,1462889176402806013,Blueground,,Bay Village,42.34992,-71.06943,Entire home/apt,,30,0,,,287,152,0,
1011678374518970800,Cozy Boston Condo | Near T,279124542,1469469687522005164,Angela,,Jamaica Plain,42.30945,-71.10263,Entire home/apt,,2,50,2025-12-22,1.99,5,267,27,STR-570317
1012176648363790827,Pearl_2,541813300,1470427724054736466,Dan,,Dorchester,42.31743531669537,-71.05464128535206,Private room,,29,47,2025-06-19,1.80,20,365,5,STR-541679
1012203440462162647,Pearl_3,541813300,1470427724054736466,Dan,,Dorchester,42.3181,-71.054,Private room,,29,29,2025-04-11,1.10,20,365,1,STR-595441
1013809941350572051,Beautiful rooms near red line!,13160153,1462904669913592026,Rachel,,Dorchester,42.29889,-71.06402,Private room,,1,1,2025-04-22,0.12,1,252,1,STR-582651
1013856506204054751,Home-Like 3BR-2BA Apt Near T,473301884,1470134541479088895,Mylinh,,Dorchester,42.31184897218913,-71.05148773124715,Entire home/apt,,2,79,2025-11-23,3.26,9,253,31,STR-540362
1013870249352984608,"TD Garden,Celtics/Bruins, Lil Italy,North End",37907846,1465567199260055273,Boston,,Downtown,42.36629,-71.05851,Entire home/apt,,1,114,2025-12-08,4.45,15,231,49,Exempt: This listing is a unit used for furnished institutional or business stays
